Biscuit Name,Website for nutritional info per 100g,Energy (kcal),Fat,Fat Saturates,Carbohydrate,Sugar,Fibre,Protein,Salt/Sodium,Fruit Jam(1/0),Milk(1/0),Butter(1/0),Palm Oil,Cream(1/0),Shape (Round/Square etc),Color(Dark/Light/etc),Texture(Crunchy/Soft/Crumbly),Score
Fox's Crunch Cream Style ," https://www.fbc-uk.com/brands/foxs-favourites/foxs-golden-crunch-creams#:~:text=Wheat%20Flour%20(Wheat%20Flour%2C%20Calcium,%2C%20Salt%2C%20Flavouring%2C%20Emulsifier%3A",498.29,20.61,12.59,65.45,37.1,1.24,4.43,0.48,0,1,0,1,1,Round,Light,Crunchy,3.009090909
Biscoff Style,https://www.tesco.com/groceries/en-GB/products/259874271,465.15,18.35,7.68,73.97,36.48,1.22,5.09,0.88,0,0,0,1,0,Rectangle,Light,Crunchy,7.449848485
